id,lat,lon
GV0001,41.27998,-8.2906
GV0002,41.24517,-8.28176
GV0003,41.246,-8.28367
GV0004,41.24598,-8.28376
GV0005,41.24622,-8.28395
GV0006,41.24629,-8.28284
GV0007,41.27873,-8.28629
GV0008,41.2787,-8.28622
GV0046,41.2864,-8.26153
GV0047,41.28637,-8.26163
GV0048,41.2863,-8.26161
GV0049,41.28617,-8.26147
GV0050,41.34138,-8.27886
GV0051,41.34107,-8.27927
GV0052,41.34103,-8.27943
GV0053,41.34061,-8.27866
GV0054,41.34033,-8.27876
GV0055,41.34004,-8.27925
GV0072,41.33695,-8.27459
GV0074,41.33645,-8.27446
GV0076,41.26247,-8.30476
GV0077,41.26285,-8.30469
GV0078,41.26284,-8.3046
GV0079,41.26288,-8.30457
GV0080,41.2629,-8.30463
GV0081,41.26291,-8.30469
GV0082,41.26589,-8.30406
GV0083,41.26601,-8.30406
GV0084,41.26612,-8.30401
GV0085,41.26652,-8.30399
GV0086,41.26658,-8.30398
GV0087,41.26414,-8.30431
GV0088,41.30684,-8.26237
GV0089,41.30655,-8.26203
GV0090,41.30621,-8.26195
GV0091,41.30568,-8.26232
GV0092,41.30708,-8.26014
GV0093,41.30714,-8.26005
GV0094,41.30729,-8.25973
GV0095,41.30789,-8.25964
GV0096,41.30728,-8.25954
GV0097,41.30728,-8.2595
GV0098,41.30725,-8.25939
GV0099,41.30286,-8.25869
GV0100,41.3028,-8.25857
GV0101,41.29974,-8.25799
GV0102,41.29989,-8.25787
GV0103,41.28783,-8.20701
GV0104,41.28777,-8.20714
GV0105,41.28777,-8.20737
GV0134,41.26508,-8.27725
GV0135,41.26959,-8.27768
GV0136,41.27504,-8.27225
GV0137,41.27554,-8.26983
GV0138,41.27548,-8.27251
GV0139,41.27544,-8.27266
GV0140,41.27055,-8.26733
GV0141,41.27046,-8.26564
GV0151,41.27039,-8.26127
GV0152,41.27054,-8.26132
GV0153,41.27764,-8.25717
GV0154,41.26771,-8.27103
GV0155,41.26757,-8.27096
GV0156,41.26746,-8.27089
GV0157,41.2672,-8.27082
GV0158,41.26673,-8.26913
GV0159,41.26671,-8.26897
GV0160,41.26558,-8.26325
GV0161,41.26673,-8.26298
GV0162,41.26534,-8.26297
GV0163,41.26525,-8.26298
GV0164,41.25842,-8.26539
GV0165,41.25841,-8.2653
GV0166,41.25867,-8.265
GV0167,41.25868,-8.26522
GV0168,41.25889,-8.26561
GV0169,41.25894,-8.26554
GV0170,41.25892,-8.26545
GV0171,41.25916,-8.2655
GV0172,41.25881,-8.26525
GV0173,41.25883,-8.26517
GV0174,41.25878,-8.26513
GV0175,41.25888,-8.26431
GV0176,41.26197,-8.26231
GV0177,41.26342,-8.26427
GV0178,41.26387,-8.26427
GV0179,41.26397,-8.26428
GV0180,41.264,-8.26428
GV0181,41.26321,-8.2642
GV0182,41.26331,-8.26413
GV0183,41.26356,-8.26412
GV0184,41.2636,-8.26413
GV0185,41.26439,-8.2645
GV0186,41.26456,-8.26468
GV0187,41.26482,-8.26579
GV0188,41.26524,-8.26586
GV0189,41.26559,-8.26638
GV0190,41.26483,-8.26786
GV0191,41.26251,-8.27702
GV0192,41.26255,-8.27701
GV0193,41.27188,-8.30173
GV0194,41.27195,-8.30156
GV0195,41.27152,-8.30133
GV0196,41.27147,-8.30129
GV0204,41.28029,-8.29783
GV0205,41.28412,-8.29756
GV0206,41.28435,-8.29761
GV0207,41.28588,-8.2981
GV0208,41.28595,-8.29821
